"Reason for absence","Month of absence","Day of the week","Seasons","Transportation expense","Distance from Residence to Work","Service time","Age","Work load Average/day","Hit target","Disciplinary failure","Education","Son","Social drinker","Social smoker","Pet","Weight","Height","Body mass index","Absenteeism time in hours","_month","_day","_Disciplinary failure","_drinker","_smoker","_pet","Prediction (_Disciplinary failure)"
0,7,3,1,118,13,18,50,239.554,97,1,1,1,1,0,0,98,178,31,0,"Jul","Tue","Yes","Yes","No","No","Yes"
7,7,5,1,279,5,14,39,239.554,97,0,1,2,1,1,0,68,168,24,4,"Jul","Thu","No","Yes","Yes","No","No"
23,7,5,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30,2,"Jul","Thu","No","Yes","No","Yes","No"
22,7,6,1,361,52,3,28,239.554,97,0,1,1,1,0,4,80,172,27,8,"Jul","Fri","No","Yes","No",,"No"
23,7,6,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,4,"Jul","Fri","No","Yes","No","No","No"
14,7,6,1,246,25,16,41,239.554,97,0,1,0,1,0,0,67,170,23,8,"Jul","Fri","No","Yes","No","No","No"
21,7,2,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,8,"Jul","Mon","No","Yes","No","No","No"
23,8,4,1,248,25,14,47,205.917,92,0,1,2,0,0,1,86,165,32,2,"Aug","Wed","No","No","No","Yes","No"
11,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,1,"Aug","Mon","No","Yes","No","No","No"
13,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,40,"Aug","Mon","No","Yes","No",,"No"
18,8,2,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8,"Aug","Mon","No","Yes","No","Yes","No"
28,8,4,1,157,27,6,29,205.917,92,0,1,0,1,1,0,75,185,22,4,"Aug","Wed","No","Yes","Yes","No","No"
18,8,4,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8,"Aug","Wed","No","Yes","No","Yes","No"
23,8,6,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,2,"Aug","Fri","No","Yes","No","No","No"
18,8,2,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8,"Aug","Mon","No","No","Yes",,"No"
23,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,2,"Aug","Mon","No","Yes","No","No","No"
19,9,3,1,235,20,13,43,241.476,92,0,1,1,1,0,0,106,167,38,8,"Sep","Tue","No","Yes","No","No","No"
23,9,4,1,155,12,14,34,241.476,92,0,1,2,1,0,0,95,196,25,2,"Sep","Wed","No","Yes","No","No","No"
14,9,2,4,291,31,12,40,241.476,92,0,1,1,1,0,1,73,171,25,32,"Sep","Mon","No","Yes","No","Yes","No"
0,9,2,4,260,50,11,36,241.476,92,1,1,4,1,0,0,65,168,23,0,"Sep","Mon","Yes","Yes","No","No","Yes"
0,9,4,4,369,17,12,31,241.476,92,1,1,3,1,0,0,70,169,25,0,"Sep","Wed","Yes","Yes","No","No","Yes"
23,9,6,4,248,25,14,47,241.476,92,0,1,2,0,0,1,86,165,32,1,"Sep","Fri","No","No","No","Yes","No"
23,10,3,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,3,"Oct","Tue","No","Yes","No","No","No"
23,10,6,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,3,"Oct","Fri","No","No","No",,"No"
23,10,4,4,248,25,14,47,253.465,93,0,1,2,0,0,1,86,165,32,2,"Oct","Wed","No","No","No","Yes","No"
23,10,4,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,3,"Oct","Wed","No","No","No",,"No"
19,10,5,4,260,50,11,36,253.465,93,0,1,4,1,0,0,65,168,23,16,"Oct","Thu","No","Yes","No","No","No"
23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,1,"Nov","Wed","No","No","No",,"No"
23,11,5,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,5,"Nov","Thu","No","Yes","No","Yes","No"
14,11,2,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,40,"Nov","Mon","No","Yes","No","Yes","No"
28,11,3,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,3,"Nov","Tue","No","No","No",,"No"
7,11,4,4,289,36,13,33,306.345,93,0,1,2,1,0,1,90,172,30,24,"Nov","Wed","No","Yes","No","Yes","No"
23,12,3,4,248,25,14,47,261.306,97,0,1,2,0,0,1,86,165,32,1,"Dec","Tue","No","No","No","Yes","No"
26,12,4,4,235,11,14,37,261.306,97,0,3,1,0,0,1,88,172,29,8,"Dec","Wed","No","No","No","Yes","No"
28,12,6,4,260,50,11,36,261.306,97,0,1,4,1,0,0,65,168,23,3,"Dec","Fri","No","Yes","No","No","No"
23,12,3,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,2,"Dec","Tue","No","No","No",,"No"
23,12,6,2,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,2,"Dec","Fri","No","No","No",,"No"
27,1,4,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,2,"Jan","Wed","No","No","No",,"No"
27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,"Jan","Tue","No","No","No","No","No"
27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,"Jan","Mon","No","No","No","No","No"
28,2,6,2,260,50,11,36,302.585,99,0,1,4,1,0,0,65,168,23,2,"Feb","Fri","No","Yes","No","No","No"
22,2,6,2,289,36,13,33,302.585,99,0,1,2,1,0,1,90,172,30,8,"Feb","Fri","No","Yes","No","Yes","No"
11,2,2,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24,8,"Feb","Mon","No","No","No","No","No"
1,2,3,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24,8,"Feb","Tue","No","No","No","No","No"
23,2,3,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,2,"Feb","Tue","No","No","No",,"No"
23,2,3,2,184,42,7,27,302.585,99,0,1,0,0,0,0,58,167,21,8,"Feb","Tue","No","No","No","No","No"
25,2,5,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,3,"Feb","Thu","No","No","No",,"No"
23,2,4,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,1,"Feb","Wed","No","No","No",,"No"
19,3,3,2,157,27,6,29,343.253,95,0,1,0,1,1,0,75,185,22,3,"Mar","Tue","No","Yes","Yes","No","No"
22,3,4,2,291,31,12,40,343.253,95,0,1,1,1,0,1,73,171,25,8,"Mar","Wed","No","Yes","No","Yes","No"
14,3,6,2,248,25,14,47,343.253,95,0,1,2,0,0,1,86,165,32,3,"Mar","Fri","No","No","No","Yes","No"
1,3,2,2,155,12,14,34,343.253,95,0,1,2,1,0,0,95,196,25,16,"Mar","Mon","No","Yes","No","No","No"
28,3,6,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,4,"Mar","Fri","No","Yes","No","No","No"
13,3,3,2,179,51,18,38,343.253,95,0,1,0,1,0,0,89,170,31,24,"Mar","Tue","No","Yes","No","No","No"
23,3,4,2,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,2,"Mar","Wed","No","No","No",,"No"
11,3,2,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,8,"Mar","Mon","No","No","No",,"No"
11,3,3,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,8,"Mar","Tue","No","No","No",,"No"
28,4,4,3,291,31,12,40,326.452,96,0,1,1,1,0,1,73,171,25,1,"Apr","Wed","No","Yes","No","Yes","No"
13,4,4,3,246,25,16,41,326.452,96,0,1,0,1,0,0,67,170,23,24,"Apr","Wed","No","Yes","No","No","No"
12,4,4,3,155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25,24,"Apr","Wed","No","Yes","No","No","No"
7,4,6,3,235,11,14,37,326.452,96,0,3,1,0,0,1,88,172,29,3,"Apr","Fri","No","No","No","Yes","No"
28,5,2,3,155,12,14,34,378.884,92,0,1,2,1,0,0,95,196,25,1,"May","Mon","No","Yes","No","No","No"
0,5,4,3,388,15,9,50,378.884,92,1,1,0,0,0,0,76,178,24,0,"May","Wed","Yes","No","No","No","Yes"
10,6,3,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,24,"Jun","Tue","No","Yes","No","No","No"
10,6,6,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,8,"Jun","Fri","No","Yes","No","No","No"
23,6,2,3,155,12,14,34,377.55,94,0,1,2,1,0,0,95,196,25,4,"Jun","Mon","No","Yes","No","No","No"
28,6,2,1,289,48,29,49,377.55,94,0,1,0,0,0,2,108,172,36,2,"Jun","Mon","No","No","No",,"No"
1,7,4,1,118,13,18,50,275.312,98,0,1,1,1,0,0,98,178,31,8,"Jul","Wed","No","Yes","No","No","No"
26,7,6,1,118,10,10,37,275.312,98,0,1,0,0,0,0,83,172,28,4,"Jul","Fri","No","No","No","No","No"
18,7,5,1,179,26,9,30,275.312,98,0,3,0,0,0,0,56,171,19,8,"Jul","Thu","No","No","No","No","No"
25,7,6,1,155,12,14,34,275.312,98,0,1,2,1,0,0,95,196,25,2,"Jul","Fri","No","Yes","No","No","No"
1,7,3,1,330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25,8,"Jul","Tue","No","No","No","No","No"
19,7,2,1,289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30,32,"Jul","Mon","No","Yes","No","Yes","No"
0,7,5,1,260,50,11,36,275.312,98,1,1,4,1,0,0,65,168,23,0,"Jul","Thu","Yes","Yes","No","No","Yes"
18,8,3,1,228,14,16,58,265.615,94,0,1,2,0,0,1,65,172,22,8,"Aug","Tue","No","No","No","Yes","No"
13,8,5,1,300,26,13,43,265.615,94,0,1,2,1,1,1,77,175,25,1,"Aug","Thu","No","Yes","Yes","Yes","No"
14,8,5,1,300,26,13,43,265.615,94,0,1,2,1,1,1,77,175,25,2,"Aug","Thu","No","Yes","Yes","Yes","No"
23,8,3,1,235,11,14,37,265.615,94,0,3,1,0,0,1,88,172,29,1,"Aug","Tue","No","No","No","Yes","No"
23,8,5,1,118,13,18,50,265.615,94,0,1,1,1,0,0,98,178,31,1,"Aug","Thu","No","Yes","No","No","No"
8,8,3,1,361,52,3,28,265.615,94,0,1,1,1,0,4,80,172,27,8,"Aug","Tue","No","Yes","No",,"No"
6,8,4,1,184,42,7,27,265.615,94,0,1,0,0,0,0,58,167,21,8,"Aug","Wed","No","No","No","No","No"
11,9,2,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,8,"Sep","Mon","No","Yes","No","No","No"
0,9,5,1,235,20,13,43,294.217,81,1,1,1,1,0,0,106,167,38,0,"Sep","Thu","Yes","Yes","No","No","Yes"
28,9,3,1,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,3,"Sep","Tue","No","Yes","No","Yes","No"
13,9,4,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,8,"Sep","Wed","No","Yes","No","No","No"
23,9,5,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,1,"Sep","Thu","No","Yes","No","No","No"
28,9,6,4,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,3,"Sep","Fri","No","Yes","No","Yes","No"
7,9,2,4,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,40,"Sep","Mon","No","Yes","No","Yes","No"
28,10,4,4,179,51,18,38,265.017,88,0,1,0,1,0,0,89,170,31,1,"Oct","Wed","No","Yes","No","No","No"
0,10,6,4,235,20,13,43,265.017,88,1,1,1,1,0,0,106,167,38,0,"Oct","Fri","Yes","Yes","No","No","Yes"
23,10,5,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,16,"Oct","Thu","No","No","No","No","No"
0,10,3,4,291,31,12,40,265.017,88,1,1,1,1,0,1,73,171,25,0,"Oct","Tue","Yes","Yes","No","Yes","Yes"
7,10,4,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,5,"Oct","Wed","No","No","No","No","No"
23,10,5,4,118,13,18,50,265.017,88,0,1,1,1,0,0,98,178,31,1,"Oct","Thu","No","Yes","No","No","No"
6,11,3,4,179,51,18,38,284.031,97,0,1,0,1,0,0,89,170,31,8,"Nov","Tue","No","Yes","No","No","No"
0,11,3,4,330,16,4,28,284.031,97,1,2,0,0,0,0,84,182,25,0,"Nov","Tue","Yes","No","No","No","Yes"
15,11,6,4,260,50,11,36,284.031,97,0,1,4,1,0,0,65,168,23,8,"Nov","Fri","No","Yes","No","No","No"
0,11,6,4,378,49,11,36,284.031,97,1,1,2,0,1,4,65,174,21,0,"Nov","Fri","Yes","No","Yes",,"Yes"
28,12,2,4,179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,1,"Dec","Mon","No","Yes","No","No","No"
28,12,2,2,179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,3,"Dec","Mon","No","Yes","No","No","No"
23,1,4,2,225,26,9,28,330.061,100,0,1,1,0,0,2,69,169,24,5,"Jan","Wed","No","No","No",,"No"
19,1,2,2,118,10,10,37,330.061,100,0,1,0,0,0,0,83,172,28,32,"Jan","Mon","No","No","No","No","No"
13,1,3,2,235,11,14,37,330.061,100,0,3,1,0,0,1,88,172,29,1,"Jan","Tue","No","No","No","Yes","No"
26,1,2,2,289,36,13,33,330.061,100,0,1,2,1,0,1,90,172,30,8,"Jan","Mon","No","Yes","No","Yes","No"
22,2,6,2,289,36,13,33,251.818,96,0,1,2,1,0,1,90,172,30,3,"Feb","Fri","No","Yes","No","Yes","No"
27,2,2,2,179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,2,"Feb","Mon","No","Yes","No","No","No"
26,2,5,2,246,25,16,41,251.818,96,0,1,0,1,0,0,67,170,23,8,"Feb","Thu","No","Yes","No","No","No"
22,2,2,2,189,29,13,33,251.818,96,0,1,2,0,0,2,69,167,25,8,"Feb","Mon","No","No","No",,"No"
