"Reason for absence","Month of absence","Day of the week","Seasons","Transportation expense","Distance from Residence to Work","Service time","Age","Work load Average/day","Hit target","Disciplinary failure","Education","Son","Social drinker","Social smoker","Pet","Weight","Height","Body mass index","Absenteeism time in hours","_month","_day","_Disciplinary failure","_drinker","_smoker","_pet","Prediction (_Disciplinary failure)"
27,2,2,2,179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,3,"Feb","Mon","No","Yes","No","No","No"
23,2,3,2,246,25,16,41,251.818,96,0,1,0,1,0,0,67,170,23,2,"Feb","Tue","No","Yes","No","No","No"
27,2,4,2,179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,3,"Feb","Wed","No","Yes","No","No","No"
10,2,6,2,246,25,16,41,251.818,96,0,1,0,1,0,0,67,170,23,24,"Feb","Fri","No","Yes","No","No","No"
19,3,4,2,246,25,16,41,244.387,98,0,1,0,1,0,0,67,170,23,16,"Mar","Wed","No","Yes","No","No","No"
28,3,6,2,246,25,16,41,244.387,98,0,1,0,1,0,0,67,170,23,2,"Mar","Fri","No","Yes","No","No","No"
28,3,6,2,260,50,11,36,244.387,98,0,1,4,1,0,0,65,168,23,4,"Mar","Fri","No","Yes","No","No","No"
22,3,3,2,179,22,17,40,244.387,98,0,2,2,0,1,0,63,170,22,8,"Mar","Tue","No","No","Yes","No","No"
22,3,3,2,378,49,11,36,244.387,98,0,1,2,0,1,4,65,174,21,8,"Mar","Tue","No","No","Yes",,"No"
22,3,4,2,361,52,3,28,244.387,98,0,1,1,1,0,4,80,172,27,8,"Mar","Wed","No","Yes","No",,"No"
23,3,6,3,118,13,18,50,244.387,98,0,1,1,1,0,0,98,178,31,2,"Mar","Fri","No","Yes","No","No","No"
0,3,5,3,246,25,16,41,244.387,98,1,1,0,1,0,0,67,170,23,0,"Mar","Thu","Yes","Yes","No","No","Yes"
19,3,2,3,260,50,11,36,244.387,98,0,1,4,1,0,0,65,168,23,8,"Mar","Mon","No","Yes","No","No","No"
28,4,4,3,179,51,18,38,239.409,98,0,1,0,1,0,0,89,170,31,4,"Apr","Wed","No","Yes","No","No","No"
26,4,6,3,330,16,4,28,239.409,98,0,2,0,0,0,0,84,182,25,4,"Apr","Fri","No","No","No","No","No"
26,4,2,3,248,25,14,47,239.409,98,0,1,2,0,0,1,86,165,32,4,"Apr","Mon","No","No","No","Yes","No"
23,4,4,3,330,16,4,28,239.409,98,0,2,0,0,0,0,84,182,25,8,"Apr","Wed","No","No","No","No","No"
28,4,6,3,260,50,11,36,239.409,98,0,1,4,1,0,0,65,168,23,4,"Apr","Fri","No","Yes","No","No","No"
13,5,2,3,235,20,13,43,246.074,99,0,1,1,1,0,0,106,167,38,16,"May","Mon","No","Yes","No","No","No"
23,5,4,3,248,25,14,47,246.074,99,0,1,2,0,0,1,86,165,32,2,"May","Wed","No","No","No","Yes","No"
28,5,6,3,260,50,11,36,246.074,99,0,1,4,1,0,0,65,168,23,3,"May","Fri","No","Yes","No","No","No"
11,5,2,3,179,22,17,40,246.074,99,0,2,2,0,1,0,63,170,22,2,"May","Mon","No","No","Yes","No","No"
23,6,2,3,118,10,10,37,253.957,95,0,1,0,0,0,0,83,172,28,3,"Jun","Mon","No","No","No","No","No"
28,6,3,3,118,10,10,37,253.957,95,0,1,0,0,0,0,83,172,28,2,"Jun","Tue","No","No","No","No","No"
28,6,6,3,260,50,11,36,253.957,95,0,1,4,1,0,0,65,168,23,4,"Jun","Fri","No","Yes","No","No","No"
13,6,2,3,291,31,12,40,253.957,95,0,1,1,1,0,1,73,171,25,40,"Jun","Mon","No","Yes","No","Yes","No"
26,6,3,3,235,20,13,43,253.957,95,0,1,1,1,0,0,106,167,38,8,"Jun","Tue","No","Yes","No","No","No"
23,6,4,1,225,26,9,28,253.957,95,0,1,1,0,0,2,69,169,24,2,"Jun","Wed","No","No","No",,"No"
23,6,4,1,118,13,18,50,253.957,95,0,1,1,1,0,0,98,178,31,2,"Jun","Wed","No","Yes","No","No","No"
11,6,3,1,330,16,4,28,253.957,95,0,2,0,0,0,0,84,182,25,1,"Jun","Tue","No","No","No","No","No"
13,6,3,1,235,11,14,37,253.957,95,0,3,1,0,0,1,88,172,29,8,"Jun","Tue","No","No","No","Yes","No"
7,7,2,1,268,11,8,33,230.29,92,0,2,0,0,0,0,79,178,25,8,"Jul","Mon","No","No","No","No","No"
28,7,3,1,118,10,10,37,230.29,92,0,1,0,0,0,0,83,172,28,8,"Jul","Tue","No","No","No","No","No"
23,7,6,1,118,13,18,50,230.29,92,0,1,1,1,0,0,98,178,31,1,"Jul","Fri","No","Yes","No","No","No"
22,7,6,1,361,52,3,28,230.29,92,0,1,1,1,0,4,80,172,27,8,"Jul","Fri","No","Yes","No",,"No"
28,7,3,1,246,25,16,41,230.29,92,0,1,0,1,0,0,67,170,23,2,"Jul","Tue","No","Yes","No","No","No"
23,7,5,1,279,5,14,39,230.29,92,0,1,2,1,1,0,68,168,24,2,"Jul","Thu","No","Yes","Yes","No","No"
25,8,2,1,179,22,17,40,249.797,93,0,2,2,0,1,0,63,170,22,1,"Aug","Mon","No","No","Yes","No","No"
26,8,3,1,289,36,13,33,249.797,93,0,1,2,1,0,1,90,172,30,8,"Aug","Tue","No","Yes","No","Yes","No"
28,8,5,1,291,31,12,40,249.797,93,0,1,1,1,0,1,73,171,25,4,"Aug","Thu","No","Yes","No","Yes","No"
28,8,3,1,118,10,10,37,249.797,93,0,1,0,0,0,0,83,172,28,5,"Aug","Tue","No","No","No","No","No"
28,9,3,1,246,25,16,41,261.756,87,0,1,0,1,0,0,67,170,23,1,"Sep","Tue","No","Yes","No","No","No"
23,9,6,1,248,25,14,47,261.756,87,0,1,2,0,0,1,86,165,32,1,"Sep","Fri","No","No","No","Yes","No"
23,9,2,1,179,51,18,38,261.756,87,0,1,0,1,0,0,89,170,31,4,"Sep","Mon","No","Yes","No","No","No"
23,9,4,1,225,26,9,28,261.756,87,0,1,1,0,0,2,69,169,24,1,"Sep","Wed","No","No","No",,"No"
28,10,4,4,291,31,12,40,284.853,91,0,1,1,1,0,1,73,171,25,2,"Oct","Wed","No","Yes","No","Yes","No"
23,10,3,4,225,26,9,28,284.853,91,0,1,1,0,0,2,69,169,24,2,"Oct","Tue","No","No","No",,"No"
23,10,3,4,369,17,12,31,284.853,91,0,1,3,1,0,0,70,169,25,3,"Oct","Tue","No","Yes","No","No","No"
23,10,3,4,225,26,9,28,284.853,91,0,1,1,0,0,2,69,169,24,4,"Oct","Tue","No","No","No",,"No"
23,10,2,4,189,29,13,33,284.853,91,0,1,2,0,0,2,69,167,25,8,"Oct","Mon","No","No","No",,"No"
0,10,2,4,225,26,9,28,284.853,91,1,1,1,0,0,2,69,169,24,0,"Oct","Mon","Yes","No","No",,"Yes"
13,10,3,4,225,26,9,28,284.853,91,0,1,1,0,0,2,69,169,24,3,"Oct","Tue","No","No","No",,"No"
21,11,3,4,179,51,18,38,268.519,93,0,1,0,1,0,0,89,170,31,1,"Nov","Tue","No","Yes","No","No","No"
28,11,4,4,118,10,10,37,268.519,93,0,1,0,0,0,0,83,172,28,3,"Nov","Wed","No","No","No","No","No"
28,11,6,4,179,51,18,38,268.519,93,0,1,0,1,0,0,89,170,31,1,"Nov","Fri","No","Yes","No","No","No"
24,11,4,4,289,36,13,33,268.519,93,0,1,2,1,0,1,90,172,30,8,"Nov","Wed","No","Yes","No","Yes","No"
23,11,6,4,225,26,9,28,268.519,93,0,1,1,0,0,2,69,169,24,4,"Nov","Fri","No","No","No",,"No"
8,11,3,4,118,10,10,37,268.519,93,0,1,0,0,0,0,83,172,28,8,"Nov","Tue","No","No","No","No","No"
13,12,3,4,179,51,18,38,280.549,98,0,1,0,1,0,0,89,170,31,32,"Dec","Tue","No","Yes","No","No","No"
13,12,6,4,179,26,9,30,280.549,98,0,3,0,0,0,0,56,171,19,1,"Dec","Fri","No","No","No","No","No"
23,12,6,4,225,26,9,28,280.549,98,0,1,1,0,0,2,69,169,24,3,"Dec","Fri","No","No","No",,"No"
14,12,5,4,361,52,3,28,280.549,98,0,1,1,1,0,4,80,172,27,4,"Dec","Thu","No","Yes","No",,"No"
18,12,6,4,179,22,17,40,280.549,98,0,2,2,0,1,0,63,170,22,2,"Dec","Fri","No","No","Yes","No","No"
23,12,3,4,225,26,9,28,280.549,98,0,1,1,0,0,2,69,169,24,2,"Dec","Tue","No","No","No",,"No"
12,1,2,2,179,26,9,30,313.532,96,0,3,0,0,0,0,56,171,19,24,"Jan","Mon","No","No","No","No","No"
25,1,4,2,179,22,17,40,313.532,96,0,2,2,0,1,0,63,170,22,2,"Jan","Wed","No","No","Yes","No","No"
27,1,2,2,179,26,9,30,313.532,96,0,3,0,0,0,0,56,171,19,2,"Jan","Mon","No","No","No","No","No"
27,1,4,2,179,26,9,30,313.532,96,0,3,0,0,0,0,56,171,19,2,"Jan","Wed","No","No","No","No","No"
13,1,4,2,289,36,13,33,313.532,96,0,1,2,1,0,1,90,172,30,8,"Jan","Wed","No","Yes","No","Yes","No"
1,2,4,2,248,25,14,47,264.249,97,0,1,2,0,0,1,86,165,32,8,"Feb","Wed","No","No","No","Yes","No"
28,2,5,2,225,26,9,28,264.249,97,0,1,1,0,0,2,69,169,24,3,"Feb","Thu","No","No","No",,"No"
27,2,5,2,179,26,9,30,264.249,97,0,3,0,0,0,0,56,171,19,2,"Feb","Thu","No","No","No","No","No"
27,2,6,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,2,"Feb","Fri","No","Yes","No","No","No"
25,2,5,2,225,26,9,28,264.249,97,0,1,1,0,0,2,69,169,24,3,"Feb","Thu","No","No","No",,"No"
13,2,5,2,179,26,9,30,264.249,97,0,3,0,0,0,0,56,171,19,2,"Feb","Thu","No","No","No","No","No"
27,2,6,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,2,"Feb","Fri","No","Yes","No","No","No"
7,2,2,2,225,26,9,28,264.249,97,0,1,1,0,0,2,69,169,24,2,"Feb","Mon","No","No","No",,"No"
23,2,3,2,248,25,14,47,264.249,97,0,1,2,0,0,1,86,165,32,2,"Feb","Tue","No","No","No","Yes","No"
27,3,2,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,2,"Mar","Mon","No","Yes","No","No","No"
23,3,2,2,248,25,14,47,222.196,99,0,1,2,0,0,1,86,165,32,2,"Mar","Mon","No","No","No","Yes","No"
25,3,3,2,248,25,14,47,222.196,99,0,1,2,0,0,1,86,165,32,3,"Mar","Tue","No","No","No","Yes","No"
27,3,5,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,3,"Mar","Thu","No","Yes","No","No","No"
19,3,2,2,361,52,3,28,222.196,99,0,1,1,1,0,4,80,172,27,8,"Mar","Mon","No","Yes","No",,"No"
27,3,5,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,3,"Mar","Thu","No","Yes","No","No","No"
23,3,6,2,179,26,9,30,222.196,99,0,3,0,0,0,0,56,171,19,2,"Mar","Fri","No","No","No","No","No"
27,3,6,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,3,"Mar","Fri","No","Yes","No","No","No"
27,3,3,3,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,3,"Mar","Tue","No","Yes","No","No","No"
13,3,4,3,155,12,14,34,222.196,99,0,1,2,1,0,0,95,196,25,24,"Mar","Wed","No","Yes","No","No","No"
27,3,5,3,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,3,"Mar","Thu","No","Yes","No","No","No"
13,4,2,3,225,26,9,28,246.288,91,0,1,1,0,0,2,69,169,24,8,"Apr","Mon","No","No","No",,"No"
19,4,3,3,361,52,3,28,246.288,91,0,1,1,1,0,4,80,172,27,8,"Apr","Tue","No","Yes","No",,"No"
19,4,4,3,248,25,14,47,246.288,91,0,1,2,0,0,1,86,165,32,8,"Apr","Wed","No","No","No","Yes","No"
7,4,2,3,369,17,12,31,246.288,91,0,1,3,1,0,0,70,169,25,24,"Apr","Mon","No","Yes","No","No","No"
19,4,2,3,225,26,9,28,246.288,91,0,1,1,0,0,2,69,169,24,8,"Apr","Mon","No","No","No",,"No"
27,4,6,3,179,26,9,30,246.288,91,0,3,0,0,0,0,56,171,19,2,"Apr","Fri","No","No","No","No","No"
14,4,5,3,118,13,18,50,246.288,91,0,1,1,1,0,0,98,178,31,2,"Apr","Thu","No","Yes","No","No","No"
27,4,6,3,179,26,9,30,246.288,91,0,3,0,0,0,0,56,171,19,2,"Apr","Fri","No","No","No","No","No"
19,5,4,3,225,15,15,41,237.656,99,0,4,2,1,0,2,94,182,28,3,"May","Wed","No","Yes","No",,"No"
28,5,4,3,235,16,8,32,237.656,99,0,3,0,0,0,0,75,178,25,2,"May","Wed","No","No","No","No","No"
13,5,5,3,179,26,9,30,237.656,99,0,3,0,0,0,0,56,171,19,1,"May","Thu","No","No","No","No","No"
27,5,6,3,179,26,9,30,237.656,99,0,3,0,0,0,0,56,171,19,2,"May","Fri","No","No","No","No","No"
28,5,3,3,118,10,10,37,237.656,99,0,1,0,0,0,0,83,172,28,1,"May","Tue","No","No","No","No","No"
27,5,4,3,179,26,9,30,237.656,99,0,3,0,0,0,0,56,171,19,2,"May","Wed","No","No","No","No","No"
7,5,2,3,361,52,3,28,237.656,99,0,1,1,1,0,4,80,172,27,8,"May","Mon","No","Yes","No",,"No"
11,5,2,3,225,26,9,28,237.656,99,0,1,1,0,0,2,69,169,24,1,"May","Mon","No","No","No",,"No"
10,6,4,3,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,8,"Jun","Wed","No","No","No","No","No"
22,6,5,3,378,49,11,36,275.089,96,0,1,2,0,1,4,65,174,21,8,"Jun","Thu","No","No","Yes",,"No"
19,6,5,3,118,13,18,50,275.089,96,0,1,1,1,0,0,98,178,31,24,"Jun","Thu","No","Yes","No","No","No"
19,6,6,3,233,51,1,31,275.089,96,0,2,1,1,0,8,68,178,21,8,"Jun","Fri","No","Yes","No",,"No"
19,6,5,3,118,13,18,50,275.089,96,0,1,1,1,0,0,98,178,31,3,"Jun","Thu","No","Yes","No","No","No"
8,6,6,1,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,2,"Jun","Fri","No","No","No","No","No"
10,6,4,1,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,3,"Jun","Wed","No","No","No","No","No"
13,7,2,1,369,17,12,31,264.604,93,0,1,3,1,0,0,70,169,25,80,"Jul","Mon","No","Yes","No","No","No"
0,0,6,3,179,45,14,53,271.219,95,0,1,1,0,0,1,77,175,25,0,,"Fri","No","No","No","Yes","No"
